cite_year,inter_type,cite_count
2001,Intersectional[ity],0
2001,Descriptive,0
2001,Author,0
2002,Intersectional[ity],0
2002,Descriptive,1
2002,Author,0
2003,Intersectional[ity],0
2003,Descriptive,0
2003,Author,0
2005,Intersectional[ity],0
2005,Descriptive,1
2005,Author,0
2006,Intersectional[ity],0
2006,Descriptive,1
2006,Author,1
2008,Intersectional[ity],0
2008,Descriptive,2
2008,Author,0
2010,Intersectional[ity],1
2010,Descriptive,4
2010,Author,0
2012,Intersectional[ity],1
2012,Descriptive,8
2012,Author,0
2014,Intersectional[ity],0
2014,Descriptive,1
2014,Author,0
2016,Intersectional[ity],1
2016,Descriptive,7
2016,Author,0
2017,Intersectional[ity],1
2017,Descriptive,2
2017,Author,1
2018,Intersectional[ity],18
2018,Descriptive,28
2018,Author,7
