cite_year,n,intersectional
2005,0,Intersectional[ity]
2005,1,Descriptive
2005,4,All
2005,4,Author
2006,0,Intersectional[ity]
2006,2,Descriptive
2006,2,All
2006,1,Author
2008,0,Intersectional[ity]
2008,3,Descriptive
2008,7,All
2008,6,Author
2009,1,Intersectional[ity]
2009,3,Descriptive
2009,5,All
2009,2,Author
2010,1,Intersectional[ity]
2010,3,Descriptive
2010,4,All
2010,2,Author
2012,0,Intersectional[ity]
2012,2,Descriptive
2012,2,All
2012,0,Author
2013,0,Intersectional[ity]
2013,1,Descriptive
2013,4,All
2013,3,Author
2014,1,Intersectional[ity]
2014,8,Descriptive
2014,11,All
2014,4,Author
2015,4,Intersectional[ity]
2015,8,Descriptive
2015,8,All
2015,3,Author
2016,1,Intersectional[ity]
2016,5,Descriptive
2016,6,All
2016,1,Author
2017,3,Intersectional[ity]
2017,9,Descriptive
2017,11,All
2017,4,Author
2018,1,Intersectional[ity]
2018,2,Descriptive
2018,9,All
2018,7,Author
2019,8,Intersectional[ity]
2019,13,Descriptive
2019,18,All
2019,8,Author
2020,4,Intersectional[ity]
2020,15,Descriptive
2020,21,All
2020,11,Author
